pretraining_mu_tasks,hid_dim,layer,head,default_sigma,converged,converged_epoch
1,4,1,1,0.2,True,6480
1,4,1,1,1.0,True,2400
1,4,1,2,0.2,True,3490
1,4,1,2,1.0,True,2270
1,4,1,4,0.2,True,4020
1,4,1,4,1.0,True,2360
1,4,2,1,0.2,True,5320
1,4,2,1,1.0,True,2440
1,4,2,2,0.2,True,4630
1,4,2,2,1.0,True,2280
1,4,2,4,0.2,True,3570
1,4,2,4,1.0,True,2700
1,4,4,1,0.2,True,4280
1,4,4,1,1.0,True,2330
1,4,4,2,0.2,True,4150
1,4,4,2,1.0,True,2230
1,4,4,4,0.2,True,5510
1,4,4,4,1.0,True,2260
1,4,8,1,0.2,True,3870
1,4,8,1,1.0,True,2300
1,4,8,2,0.2,True,4950
1,4,8,2,1.0,True,2260
1,4,8,4,0.2,True,4430
1,4,8,4,1.0,True,2270
1,16,1,1,0.2,True,2390
1,16,1,1,1.0,True,2100
1,16,1,2,0.2,True,2430
1,16,1,2,1.0,True,2090
1,16,1,4,0.2,True,2490
1,16,1,4,1.0,True,2170
1,16,1,8,0.2,True,2570
1,16,1,8,1.0,True,2180
1,16,2,1,0.2,True,2300
1,16,2,1,1.0,True,2070
1,16,2,2,0.2,True,2300
1,16,2,2,1.0,True,2070
1,16,2,4,0.2,True,2460
1,16,2,4,1.0,True,2070
1,16,2,8,0.2,True,2300
1,16,2,8,1.0,True,2150
1,16,4,1,0.2,True,2360
1,16,4,1,1.0,True,2040
1,16,4,2,0.2,True,2400
1,16,4,2,1.0,True,2080
1,16,4,4,0.2,True,2280
1,16,4,4,1.0,True,2040
1,16,4,8,0.2,True,2280
1,16,4,8,1.0,True,2040
1,16,8,1,0.2,True,2730
1,16,8,1,1.0,True,2070
1,16,8,2,0.2,True,2410
1,16,8,2,1.0,True,2060
1,16,8,4,0.2,True,2350
1,16,8,4,1.0,True,2050
1,16,8,8,0.2,True,2340
1,16,8,8,1.0,True,2040
1,64,1,1,0.2,True,2070
1,64,1,1,1.0,True,2020
1,64,1,2,0.2,True,2150
1,64,1,2,1.0,True,2030
1,64,1,4,0.2,True,2170
1,64,1,4,1.0,True,2020
1,64,1,8,0.2,True,2080
1,64,1,8,1.0,True,2020
1,64,2,1,0.2,True,2080
1,64,2,1,1.0,True,2010
1,64,2,2,0.2,True,2110
1,64,2,2,1.0,True,2000
1,64,2,4,0.2,True,2170
1,64,2,4,1.0,True,2030
1,64,2,8,0.2,True,2110
1,64,2,8,1.0,True,2020
1,64,4,1,0.2,True,2110
1,64,4,1,1.0,True,2010
1,64,4,2,0.2,True,2140
1,64,4,2,1.0,True,2000
1,64,4,4,0.2,True,2070
1,64,4,4,1.0,True,2000
1,64,4,8,0.2,True,2100
1,64,4,8,1.0,True,2010
1,64,8,1,0.2,True,2090
1,64,8,1,1.0,True,2000
1,64,8,2,0.2,True,2100
1,64,8,2,1.0,True,2010
1,64,8,4,0.2,True,2070
1,64,8,4,1.0,True,2000
1,64,8,8,0.2,True,2070
1,64,8,8,1.0,True,2000
1,256,1,1,0.2,True,2570
1,256,1,1,1.0,True,2000
1,256,1,2,0.2,True,2430
1,256,1,2,1.0,True,2000
1,256,1,4,0.2,True,4610
1,256,1,4,1.0,True,2000
1,256,1,8,0.2,True,4060
1,256,1,8,1.0,True,3310
1,256,2,1,0.2,True,2460
1,256,2,1,1.0,True,2010
1,256,2,2,0.2,True,2330
1,256,2,2,1.0,True,2010
1,256,2,4,0.2,True,2190
1,256,2,4,1.0,True,2000
1,256,2,8,0.2,True,9970
1,256,2,8,1.0,True,2000
1,256,4,1,0.2,True,2130
1,256,4,1,1.0,True,2010
1,256,4,2,0.2,True,2090
1,256,4,2,1.0,True,2000
1,256,4,4,0.2,True,2070
1,256,4,4,1.0,True,2000
1,256,4,8,0.2,True,2130
